state,dhfr_irn,se.dhfr_irn,year,pred,pred_upper,pred_lower
Africa:Senegal:Dakar,,,2023,,,
Africa:Senegal:Diourbel,,,2023,74.52,80.24,68.8
Africa:Senegal:Fatick,,,2023,,,
Africa:Senegal:Kaffrine,,,2023,,,
Africa:Senegal:Kaolack,,,2023,42.11,56.69,27.53
Africa:Senegal:Kédougou,,,2023,,,
Africa:Senegal:Kolda,,,2023,79.7,88.21,71.19
Africa:Senegal:Louga,,,2023,,,
Africa:Senegal:Matam,,,2023,,,
Africa:Senegal:Saint-Louis,,,2023,,,
Africa:Senegal:Sédhiou,,,2023,,,
Africa:Senegal:Tambacounda,,,2023,92.2,96.34,88.06
Africa:Senegal:Thiès,,,2023,,,
Africa:Senegal:Ziguinchor,,,2023,,,
